GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,2,3,0,0,1,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,50,134,4,4,7,32,6,8,2,8
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,75,89,2,2,11,24,4,8,2,8
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,50,143,4,4,7,35,6,8,2,8
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,50,138,4,4,7,33,6,8,2,8
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,50,138,4,4,7,33,6,8,2,8
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,50,142,4,4,7,34,6,8,2,8
spring-boot-skeleton,com.nnk.springboot.configuration,SecurityConfig,0,57,0,0,0,18,0,4,0,4
spring-boot-skeleton,com.nnk.springboot.service,RuleNameService,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.service,TradeService,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.service,MyUserDetailsService,22,29,1,1,2,6,1,3,0,3
spring-boot-skeleton,com.nnk.springboot.service,RatingService,20,3,0,0,5,1,4,1,4,1
spring-boot-skeleton,com.nnk.springboot.service,BidListService,16,7,0,0,4,2,3,2,3,2
spring-boot-skeleton,com.nnk.springboot.service,CurvePointService,20,3,0,0,5,1,4,1,4,1
spring-boot-skeleton,com.nnk.springboot.service,UserService,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.domain,Rating,0,38,0,0,0,8,0,11,0,11
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,0,52,0,0,0,10,0,15,0,15
spring-boot-skeleton,com.nnk.springboot.domain,BidList,88,79,0,0,21,7,27,21,27,21
spring-boot-skeleton,com.nnk.springboot.domain,Trade,31,129,0,0,6,21,9,37,9,37
spring-boot-skeleton,com.nnk.springboot.domain,User,0,38,0,0,0,7,0,11,0,11
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,14,31,0,0,2,7,4,9,4,9
spring-boot-skeleton,com.nnk.springboot,PoseidonApplication,5,3,0,0,2,1,1,1,1,1
